sweep,value,implementation,median_seconds,minimum_seconds,measurements
batch_size,32,CPU,0.4319925,0.4299246,3
batch_size,32,GPU,0.7861093,0.7784614,3
batch_size,32,GPU fused,0.5900823,0.5845546,3
batch_size,64,CPU,0.2628655,0.2614468,3
batch_size,64,GPU,0.3981346,0.3940488,3
batch_size,64,GPU fused,0.2991392,0.2953019,3
batch_size,128,CPU,0.1752854,0.175273,3
batch_size,128,GPU,0.2292331,0.2268611,3
batch_size,128,GPU fused,0.183765,0.1754059,3
batch_size,256,CPU,0.1369561,0.1364336,3
batch_size,256,GPU,0.1216914,0.119259,3
batch_size,256,GPU fused,0.0985138,0.096748,3
batch_size,512,CPU,0.1133362,0.1124616,3
batch_size,512,GPU,0.0723075,0.0712822,3
batch_size,512,GPU fused,0.0632299,0.0624657,3
batch_size,1024,CPU,0.1052646,0.1025847,3
batch_size,1024,GPU,0.0494516,0.0480929,3
batch_size,1024,GPU fused,0.043177,0.0428301,3
layer_width,32,CPU,0.0401451,0.0396974,3
layer_width,32,GPU,0.1135182,0.1110617,3
layer_width,32,GPU fused,0.1198294,0.0939511,3
layer_width,64,CPU,0.0663301,0.0658225,3
layer_width,64,GPU,0.1424529,0.141348,3
layer_width,64,GPU fused,0.1214367,0.119536,3
layer_width,128,CPU,0.093153,0.0881041,3
layer_width,128,GPU,0.1500516,0.1497581,3
layer_width,128,GPU fused,0.1265876,0.1246145,3
layer_width,256,CPU,0.16432,0.1608909,3
layer_width,256,GPU,0.1567259,0.1544276,3
layer_width,256,GPU fused,0.1264681,0.1247546,3
layer_width,512,CPU,0.3419097,0.3402247,3
layer_width,512,GPU,0.1621279,0.1594191,3
layer_width,512,GPU fused,0.1401935,0.1364191,3
layer_width,1024,CPU,0.9844894,0.9841065,3
layer_width,1024,GPU,0.1944562,0.193081,3
layer_width,1024,GPU fused,0.1670701,0.1634138,3
depth,1,CPU,0.0889717,0.0889679,3
depth,1,GPU,0.1119058,0.1109326,3
depth,1,GPU fused,0.0904605,0.0875526,3
depth,2,CPU,0.1282404,0.1259976,3
depth,2,GPU,0.1308298,0.1283024,3
depth,2,GPU fused,0.1092678,0.1084628,3
depth,3,CPU,0.1520221,0.1507718,3
depth,3,GPU,0.150926,0.1499558,3
depth,3,GPU fused,0.1350657,0.1307343,3
depth,4,CPU,0.1860894,0.1857275,3
depth,4,GPU,0.1766301,0.1738518,3
depth,4,GPU fused,0.1392185,0.135739,3
depth,6,CPU,0.2627212,0.2561963,3
depth,6,GPU,0.2112357,0.209146,3
depth,6,GPU fused,0.1695477,0.1684381,3
depth,8,CPU,0.326138,0.3235591,3
depth,8,GPU,0.2516883,0.2486755,3
depth,8,GPU fused,0.1931015,0.1928466,3
epochs,1,CPU,0.1514508,0.1505963,3
epochs,1,GPU,0.151725,0.1499186,3
epochs,1,GPU fused,0.1257668,0.1233352,3
epochs,2,CPU,0.297509,0.295424,3
epochs,2,GPU,0.283506,0.2830437,3
epochs,2,GPU fused,0.2295592,0.2282264,3
epochs,4,CPU,0.5852715,0.5850181,3
epochs,4,GPU,0.5654229,0.5647351,3
epochs,4,GPU fused,0.4592819,0.4510432,3
epochs,8,CPU,1.1793065,1.1689409,3
epochs,8,GPU,1.1310373,1.1145224,3
epochs,8,GPU fused,0.9038963,0.8959823,3
epochs,16,CPU,2.3285405,2.3269071,3
epochs,16,GPU,2.2454395,2.234621,3
epochs,16,GPU fused,1.8190427,1.7958165,3
